views,painting,size,medium,title,artistCountry,creator,pubDate,artist_NoOfArts,artist_followers,materials,favoriteCount,subject,price,
49,Oil,1200,Oil, Ploughing the Potato Field Painting by Marie Green,Australia,Marie Green,1.42007E+12,11,1,Canvas,4,Landscape,2956,7.991592282
302,Acrylic,864,Acrylic, Pomp & Circumstance Painting by Barbara Kemp Cowlin,United States,Barbara Kemp Cowlin,1.45161E+12,110,20,Canvas,4,Water,1890,7.544332108
486,Acrylic,192,Acrylic, Formations Painting by June Forster,United Kingdom,June Forster,1.44487E+12,59,98,Canvas,27,Abstract,495,6.204557763
890,Oil,196,Oil Wood crescent board, All Working Components Painting by F David Gibson,United States,F David Gibson,1.4332E+12,18,11,Wood,11,Abstract,1640,7.402451521
1313,Acrylic,2328.54,Acrylic Oil Color Paint, 3700000 euro Painting by Robert Pennekamp,Netherlands,Robert Pennekamp,1.42007E+12,82,65,Canvas,39,Business,106000,11.57119437
884,Oil,543.72,Oil, space bar Painting by Louise Marchal,United Kingdom,Louise Marchal,1.26516E+12,36,53,Wood,7,Technology,1640,7.402451521
477,Acrylic,256,Acrylic, Untitled Painting by Becky Stoup,United States,Becky Stoup,1.24209E+12,39,24,Wood,14,Floral,430,6.063785209
423,Oil,185.26,Oil, exbarbie & flesh tones series,Romania,edgar balogh,1.43139E+12,42,9,Canvas Wood,5,Body,1640,7.402451521
376,Acrylic,1440,Acrylic, Ephemeral Stream Painting by Justin Bernhardt,United States,Justin Bernhardt,1.42007E+12,28,6,Wood,6,Landscape,2210,7.700747795
328,Oil,720,Oil, Portrait of a Young Girl ,Canada,Christine Cousineau,1.2623E+12,25,19,Canvas,9,Children,1055,6.961296046
1177,Acrylic,1296,Acrylic, Seeds of Change Painting by Stefan Fierros,United Kingdom,Stefan Fierros,1.38983E+12,95,388,Canvas,30,Nature,1450,7.279318835
96,Oil and Paint,732,Oil Paint, A Flowering Memory Painting by Adam Colombo,United States,Adam Colombo,1.45161E+12,13,1,Canvas,6,Abstract,3650,8.202482447
217,Acrylic,1200,Acrylic, Rust Painting by Janelle W Anderson,United States,Janelle W Anderson,1.45161E+12,7,5,Canvas,18,Portrait,2100,7.649692624
331,Acrylic,1764,Acrylic, Stone Eggs Painting by Cece Stronach,United States,Cece Stronach,1.42906E+12,9,8,Canvas,18,Still Life,850,6.745236349
106,Oil and Metal,576,Oil Metal, Lara Painting by Ginger Del Rey,United States,Ginger Del Rey,1.45161E+12,18,39,Canvas,7,Portrait,3200,8.070906089
1289,Oil,4320,Oil, WHERE U AT Painting by Miguel Osuna,United States,Miguel Osuna,1.28676E+12,35,85,Canvas,49,Landscape,10350,9.244741799
611,Oil,417.72,Oil, Happiness Painting by Snezana Bujosevic,Cyprus,Snezana Bujosevic,1.29298E+12,51,32,Canvas,18,Body,1740,7.461640392
172,Acrylic,900,Acrylic Pastel Pencil, Crossing The Landscape Painting by Milena Doncheva,Canada,Milena Doncheva,1.45161E+12,12,4,Wood,7,Abstract,3250,8.086410275
576,Watercolor,140,Watercolor, The Hermitage and the Braan Painting by Lee Stewart,United Kingdom,Lee Stewart,1.45593E+12,46,80,Paper,19,Landscape,520,6.253828812
406,Acrylic,576,Acrylic Fabric Gesso Paper, Broken Chair Painting by Fukuko Harris,United States,Fukuko Harris,1.2623E+12,8,2,Canvas Paper,16,Abstract,680,6.522092798
43,Oil,1118.25,Oil, Little gray bird Painting by Aksana Evdokimenko,Belarus,Aksana Evdokimenko,1.48323E+12,19,6,Canvas,5,Body,1540,7.339537695
125,Oil,720,Oil, Memories Painting by JULIA RODRIGUEZ,United States,JULIA RODRIGUEZ,1.16761E+12,6,1,Canvas,8,Abstract,4610,8.435983136
85,Acrylic and Paint,480,Acrylic Paint, Breakers #3 Painting by Nicole Pasuko,United States,Nicole Pasuko,1.48306E+12,3,1,Canvas,8,Beach,595,6.388561406
284,Oil,388.09,Oil, The mercy Painting by Anna Rogova,Germany,Anna Rogova,1.45947E+12,85,33,Canvas,5,Women,1075,6.980075941
1152,Acrylic and Gouache,536.76,Acrylic Gouache, E&A Series - Green Blue Painting by Leo Poloniecki,Singapore,Leo Poloniecki,1.39951E+12,20,14,Paper,17,Abstract,1640,7.402451521
603,Acrylic and Oil,720,Acrylic Oil, Entropy High XL Painting by Joerg Dressler,United States,Joerg Dressler,1.45161E+12,15,72,Canvas,72,Seascape,3550,8.174702882
404,Acrylic,1901.64,Acrylic, Berlevag Coast Painting by Ben Rikken,Netherlands,Ben Rikken,1.32538E+12,37,24,Canvas,21,Seascape,15000,9.61580548
44,Acrylic,2227.84,Acrylic Paper Spray Paint, MIDWEST Painting by matteo cattonar,Italy,matteo cattonar,1.38853E+12,22,63,Canvas,2,Women,1610,7.383989458
369,Acrylic,88,Acrylic Chrcoal ink graphite watercolor, Second Glance Painting by Richard Cutshall,United States,Richard Cutshall,1.42007E+12,60,20,Paper,14,Mortality,290,5.669880923
467,Oil,110.92,Oil, little salmon white rose Painting by michaela knittelfelder-lang,Austria,michaela knittelfelder-lang,1.32538E+12,34,12,Canvas,22,Floral,280,5.634789603
301,Acrylic,2554.7,Acrylic Oil Resin, side table and deer Painting by Lia Harkes,Netherlands,Lia Harkes,1.45161E+12,4,3,Canvas,27,Interiors,5160,8.548691858
1225,Acrylic,864,Acrylic, You  Never Listen Painting by Hana Davis,,Hana Davis,1.43355E+12,210,377,Paper,22,Body,710,6.56526497
98,Oil,1486.8,Oil, The discussion Painting by Nikos Pantazis,Greece,Nikos Pantazis,1.38853E+12,1,1,Canvas,8,People,7000,8.853665428
256,Acrylic,400,Acrylic Oil Spray Paint Wax medium, Dollar billboard Painting by Madison Bloch,United States,Madison Bloch,1.45161E+12,82,226,Canvas,5,Abstract,1030,6.937314081
167,Oil,768,Oil oiloncanvas canvas, The Human Puzzle Painting by Andrej Pavlič,Slovenia,Andrej Pavlič,1.16761E+12,10,15,Canvas,7,Fantasy,4910,8.499029221
2639,Oil,761.76,Oil, Petroleum Painting by Federico Cortese,Italy,Federico Cortese,6.62688E+11,289,373,Canvas,37,Animal,1550,7.34601021
408,Digital,1728,Digital, Broken Dreams Painting by Suraj Lazar,India,Suraj Lazar,1.42854E+12,44,7,Canvas,2,Abstract,1230,7.114769448
843,Oil,1840,Oil, Indoor Outdoor Still Life Painting by Kathryn Vaughan,United States,Kathryn Vaughan,1.40953E+12,29,32,Canvas,38,Landscape,2010,7.605890001
159,Acrylic and Other,144,Acrylic Other, White Canoe Painting by Martin Webb,United States,Martin Webb,1.45161E+12,108,110,Wood,7,Boat,445,6.098074282
306,Oil,108,Oil Spray Paint Marker, Hydrangea 3 Painting by Zeke Garcia,United States,Zeke Garcia,1.45161E+12,237,41,Paper,11,Floral,560,6.327936784
218,Acrylic,1552.36,Acrylic, The Seed Painting by ivana flores,Spain,ivana flores,1.45161E+12,78,209,Canvas,5,People,3370,8.122668023
630,Gouache and Watercolor,4466.7,Gouache Watercolor, in the beginning Painting by thomas struempel,Switzerland,thomas struempel,1.43294E+12,18,4,Canvas,16,Classical mythology,13000,9.472704636
1161,Acrylic,576,Acrylic, Speedy horse 2 Painting by Suvarna Sable,India,Suvarna Sable,1.43381E+12,5,2,Canvas,14,Animal,660,6.492239835
1148,Watercolor and Acrylic,246.49,Watercolor Acrylic, Kristalline Strömungsstrukturen (grün-blau) | Crystalline flow structures (green-blue) Painting by Christina Benesch,Germany,Christina Benesch,1.42007E+12,21,93,Paper,25,Water,495,6.204557763
286,Oil,93.22,Oil, Causeway Painting by heidi jukes,United Kingdom,heidi jukes,1.42862E+12,4,1,Canvas,10,Seascape,495,6.204557763
364,Oil,80,Oil, Quail Goose & Cantaloupe Painting by Laura Nothern,United States,Laura Nothern,1.42007E+12,3,5,Canvas Other,9,Still Life,2190,7.691656823
51,Oil,320,Oil, The Purple Mist Painting by Kay Smith,United States,Kay Smith,1.48323E+12,7,0,Canvas,5,Landscape,550,6.309918278
752,Oil,3055,Oil, Secret Knowledge Painting by elizabeth coyne,United States,elizabeth coyne,1.39104E+12,11,31,Canvas,27,Abstract,8700,9.071078305
926,Acrylic,655.36,Acrylic, Branca (branch) Painting by Carles Moll,Spain,Carles Moll,1.41566E+12,54,132,Wood,27,Botanic,1330,7.192934221
429,Oil,2431.8,Oil, springtime Painting by Besik Arbolishvili,Georgia,Besik Arbolishvili,1.46292E+12,23,10,Canvas,15,Nature,8700,9.071078305
253,Acrylic and Paint,2304,Acrylic Paint, Euforia Painting by Natalia Juncadella,United States,Natalia Juncadella,1.45161E+12,26,8,Canvas,14,Abstract,7700,8.948975608
432,Household and Oil,2017.28,Household Oil, May Painting by matt davies,,matt davies,1.01356E+12,7,3,Canvas,26,Portrait,535,6.282266747
276,Acrylic,1552.36,Acrylic, Čerešňák n.1 Painting by Lucia Hornakova Cernayova,Slovakia,Lucia Hornakova Cernayova,1.45316E+12,23,2,Canvas Wood,13,Nature,1340,7.200424893
342,Acrylic,864,Acrylic, Hills and Aerial Painting by Jay Worling,,Jay Worling,1.42439E+12,7,2,Wood,16,Landscape,890,6.791221463
52,Oil,345,Oil Tempera gold, S.e.r.I.t Painting by Jeremy Lorek,Poland,Jeremy Lorek,1.48323E+12,9,0,Canvas,4,Culture,2190,7.691656823
893,Oil,3782,Oil, Geiser Azrka (This work of art will be available for delivery in June due to the display and exhibition) Painting by Zohar Cohen,Israel,Zohar Cohen,1.42007E+12,35,22,Canvas,24,Landscape,7050,8.860782896
709,Acrylic,625,Acrylic, heavenly Painting by Anne Russell,United Kingdom,Anne Russell,1.42007E+12,23,7,Canvas,19,Floral,715,6.572282543
199,Ink,669,Ink Gesso Oil, And If Painting by Christopher Taylor,United States,Christopher Taylor,1.45549E+12,10,1,Paper,9,Language,1740,7.461640392
202,Oil,40.15,Oil, Landscape #21 Painting by Anthony Shechtman,United States,Anthony Shechtman,1.45161E+12,19,6,Wood,5,Landscape,240,5.480638923
1073,oil,320,oil, The Lake Side Hotel Painting by Clement Tsang,Hong Kong,Clement Tsang,1.42007E+12,296,30,Canvas,30,Places,260,5.560681631
46,Acrylic,3258.38,Acrylic, Crossroad 4 Painting by Mila Gvardiol,Serbia,Mila Gvardiol,1.45161E+12,19,36,Canvas,6,Abstract,3910,8.271292653
3702,Oil,2420.64,Oil, Isotherm 1 Painting by Samantha Sobhani,United Kingdom,Samantha Sobhani,1.38853E+12,3,3,Canvas,21,Landscape,2500,7.824046011
554,Acrylic,2170.94,Acrylic, Winterreise / Sleeping Giant Painting by Mirthe Sleper,Netherlands,Mirthe Sleper,1.13607E+12,221,142,Canvas,14,Culture,2750,7.919356191
965,Acrylic,2482.2,Acrylic Oil Ink Tempera Watercolor, Beginnings Painting by Matthew John Atkinson,United Kingdom,Matthew John Atkinson,1.36236E+12,25,32,Canvas,17,Fantasy,7900,8.974618038
581,Spray Paint,6193.69,Spray Paint Acrylic Ink Gouache Tempera, Turner Storm on the sea quantic interpretation Painting by Luca Luca,Belgium,Luca Luca,1.42353E+12,40,15,Paper,13,Beach,2190,7.691656823
234,Acrylic,320,Acrylic Gesso Plaster, Salish Sky Painting by J R Thacker,,J R Thacker,1.28857E+12,17,2,Canvas,6,Landscape,210,5.347107531
88,oil pastel and Acrylic,1670.88,oil pastel Acrylic, Seria Songs of wind. Song №1 Painting by Nadezda Stupina,Norway,Nadezda Stupina,1.45161E+12,63,9,Canvas,4,Floral,2750,7.919356191
58,Oil,1728,Oil, Of Being in Nothingness #3 Painting by rhea cutillo,United States,rhea cutillo,1.48323E+12,11,25,Wood,10,Landscape,6850,8.832003931
283,Acrylic and Watercolor,768.6,Acrylic Watercolor, Olga Ulianova SILENCE Painting by Olga and Vladimir Ulianov,Russia,Olga and Vladimir Ulianov,1.29997E+12,52,49,Paper,21,Landscape,2440,7.799753318
57,Oil,14000,Oil, Flowers Painting by Eduard Belsky,Slovenia,Eduard Belsky,1.45161E+12,36,8,Canvas,7,Fantasy,4910,8.499029221
1363,Acrylic,8096.78,Acrylic, sambesi 2 Painting by Claudia Bormann,Germany,Claudia Bormann,1.41074E+12,59,96,Canvas,23,Landscape,8200,9.011889433
252,Oil,2482.2,Oil, Intimate Love Painting by Eva Konya,Spain,Eva Konya,1.33799E+12,24,2,Canvas,8,Floral,6350,8.756210092
676,Oil,7600,Oil, He left behind a Cement Goose (Pedestrians under an expressway) Painting by Kevin Stuart,United States,Kevin Stuart,1.41566E+12,21,105,Canvas,14,People,2750,7.919356191
728,Oil,3276,Oil, Hostas faded or plantain-lilies 3 Painting by Jean Claude Émile Perrin,France,Jean Claude Émile Perrin,1.39994E+12,36,6,Canvas,15,Still Life,2610,7.8671055
400,Textile,2552.34,Textile Paint Wax, South America Painting by Eleonóra Ur,Hungary,Eleonóra Ur,1.357E+12,26,4,Soft (Yarn Cotton Fabric),15,Animal,2290,7.736307097
4485,Gouache and Watercolor,1200,Gouache Watercolor, Headdress #1 Painting by Kristine Gottsch,United States,Kristine Gottsch,1.42007E+12,72,14,Paper,33,Fashion,3210,8.074026216
101,Oil,864,Oil, Snowstorm Church St Painting by Ellen Bradshaw,United States,Ellen Bradshaw,1.16761E+12,28,4,Canvas,4,Cities,3550,8.174702882
133,Acrylic,432,Acrylic, North Woods Sunset Painting by Janet Stottlemyer,United States,Janet Stottlemyer,1.45161E+12,32,1,Canvas,9,Abstract,410,6.01615716
186,Acrylic,480,Acrylic, Blissful Painting by Melissa Marquardt,United States,Melissa Marquardt,1.45161E+12,25,20,Canvas,7,Seascape,740,6.606650186
48,Acrylic and Pastel,90.1,Acrylic Pastel, Gorton Monastery Painting No 1 Painting by Ian McKay,United Kingdom,Ian McKay,1.10454E+12,88,13,Canvas Wood,0,Architecture,538,6.28785856
123,Oil,246.49,Oil, Learn to swim learn to swim learn to swim Painting by Christopher Keyte,United Kingdom,Christopher Keyte,1.45161E+12,13,37,Canvas,10,Abstract,460,6.131226489
356,Acrylic and Oil,110.92,Acrylic Oil, Maria Painting by Mariana Malheiro,Portugal,Mariana Malheiro,1.41376E+12,15,3,Canvas,20,Women,275,5.616771098
872,Watercolor,165,Watercolor, The Arrival Painting by claudia slaney,New Zealand,claudia slaney,1.40988E+12,11,13,Paper,34,Cities,445,6.098074282
2447,Oil,2411.64,Oil, GREEN PATH Painting by Sam Radja,Indonesia,Sam Radja,1.4148E+12,47,164,Canvas,24,Abstract,6350,8.756210092
43,Acrylic,743.4,Acrylic Watercolor Gesso, Water Reflexion of city Painting by Elena Petrova Gancheva,Portugal,Elena Petrova Gancheva,1.48323E+12,60,62,Soft (Yarn Cotton Fabric),6,Abstract,2540,7.83991936
358,Oil,1241.1,Oil Paper Paint, Archaic II Painting by ann gricman,Latvia,ann gricman,1.39769E+12,17,9,Canvas Soft (Yarn Cotton Fabric),16,Erotic,7050,8.860782896
2027,Oil,1087.44,Oil, Heart Painting by Moussin Irjan,Belgium,Moussin Irjan,1.44504E+12,39,334,Canvas,46,Portrait,2490,7.820037989
59,Oil,271.5,Oil, Baby Shoes 1 Painting by Paul Wiltshire Fletcher,Spain,Paul Wiltshire Fletcher,1.32538E+12,15,0,Canvas Other,7,Children,325,5.783825182
328,Oil,408,Oil, Growing Up - Young & Old Painting by Damian Davies,United Kingdom,Damian Davies,1.32538E+12,22,1,Canvas,11,Nature,320,5.768320996
173,Acrylic,1486.8,Acrylic, Canberra Painting by Jure Markota,Slovenia,Jure Markota,1.45161E+12,19,3,Canvas,6,Landscape,3750,8.229511119
102,Watercolor,721.52,Watercolor Gouache Paper Metal Wood, heart rhythm Painting by Tetiana Zaichenko,Ukraine,Tetiana Zaichenko,1.45161E+12,3,0,Paper Cardboard Iron Canvas Glass,4,Seascape,440,6.086774727
42,Oil,432,Oil, Hiking Trail Painting by Valeriy Skrypka,United States,Valeriy Skrypka,1.48323E+12,60,285,Canvas,1,People,2000,7.60090246
297,Watercolor,90,Watercolor Paper Ink, Life in the Underworld 2 Painting by Anna Finkelstein,United Kingdom,Anna Finkelstein,1.45161E+12,33,4,Paper,18,Nature,135,4.905274778
188,Acrylic,320,Acrylic Ink Pencil Spray Paint, Shadows into Light Painting by Megan Kunisch,United States,Megan Kunisch,1.45161E+12,12,5,Canvas,11,Abstract,830,6.721425701
484,Acrylic,1256.86,Acrylic, la vieja y el pequeño  / the old lady and the young elefant Painting by julilith seguin,Spain,julilith seguin,1.45161E+12,37,29,Canvas,24,Animal,690,6.536691598
249,Acrylic,232.46,Acrylic, Chords Painting by Karen Movsisyan,Armenia,Karen Movsisyan,1.38853E+12,27,4,Canvas,9,Abstract,560,6.327936784
192,Oil,535.04,Oil, Breathe Painting by siho Im,South Korea,siho Im,1.38784E+12,7,3,Canvas,9,Body,2190,7.691656823
258,Oil,3630.08,Oil, Australian pavilion Painting by Marija Kasum,Croatia,Marija Kasum,1.44176E+12,14,16,Canvas,7,Botanic,4160,8.333270353
984,Acrylic and Watercolor,3279.32,Acrylic Watercolor, untitled Painting by yoomi kim,South Korea,yoomi kim,1.41091E+12,23,8,Paper,10,Aerial,2610,7.8671055
359,Oil,992.25,Oil, BÉA Painting by ATELIER Py-Wi,,ATELIER Py-Wi,1.29894E+12,52,15,Wood,8,Body,1490,7.306531399
543,Acrylic,720,Acrylic, Blazing forest Painting by Sylvie Moncion,Canada,Sylvie Moncion,1.42007E+12,38,7,Canvas,5,Tree,1290,7.162397497
142,Acrylic,1552.36,Acrylic, November Rain Painting by Saad Rabadi,Jordan,Saad Rabadi,1.45161E+12,2,5,Canvas,7,Cities,2530,7.835974582
637,Ink,309.29,Ink, Before the storm. Painting by H Schlagen,Germany,H Schlagen,1.4116E+12,396,146,Paper,20,Seascape,290,5.669880923
493,Oil,1705.69,Oil, Dusk at the river Don Painting by Kate Steenhauer,United Kingdom,Kate Steenhauer,1.42007E+12,75,23,Wood,22,Landscape,4170,8.335671315
59,Acrylic and Paper,64,Acrylic Paper, Inside Out Painting by jen herling,United States,jen herling,1.45161E+12,36,0,Canvas,7,Portrait,290,5.669880923
103,Oil,66.78,Oil, Peaches Painting by ANNE BAUDEQUIN,France,ANNE BAUDEQUIN,1.45161E+12,95,53,Canvas,3,Still Life,260,5.560681631
1562,Oil,2400,Oil, Previous Birds Painting by Amy Newland,United States,Amy Newland,1.35285E+12,18,31,Canvas,27,Animal,1750,7.467371067
570,Acrylic,1200,Acrylic, Blacksmith Shop Farm Painting by Ann Marie Coolick,United States,Ann Marie Coolick,1.42007E+12,259,252,Canvas,13,Landscape,2190,7.691656823
830,Oil and Gesso,675.4,Oil Gesso, Element (IIV) Painting by Mike Nicoll,United Kingdom,Mike Nicoll,1.42007E+12,100,88,Paper,17,Nude,830,6.721425701
196,Pencil and Acrylic,768,Pencil Acrylic, Sara for Marcel #2 Painting by Lauren Denitzio,United States,Lauren Denitzio,1.42007E+12,28,27,Wood,14,Abstract,540,6.29156914
306,Acrylic and Gesso,100,Acrylic Gesso, A Patriots Life Painting by Juliana DeFrance,United States,Juliana DeFrance,1.42007E+12,23,7,Wood,11,Abstract,245,5.501258211
450,Oil,3266.56,Oil, The way toward exit Painting by Minchae Kang,South Korea,Minchae Kang,1.41947E+12,10,1,Canvas,12,Abstract,7900,8.974618038
49,Acrylic,1600,Acrylic gold leaf mixed media, March Painting by AIDA JONES,United States,AIDA JONES,1.48323E+12,3,0,Canvas,2,Abstract,1950,7.575584652
999,Acrylic,1859.68,Acrylic, Riotous Flowers Painting by Helen van Hoogstraten,,Helen van Hoogstraten,1.31475E+12,33,76,Canvas,46,Landscape,1710,7.444248649
2909,Oil,929.84,Oil, Car on the road Painting by Tomasz Kozlowski,Poland,Tomasz Kozlowski,1.40996E+12,73,379,Canvas,131,Car,1290,7.162397497
385,Oil,1520,Oil, Mountains Infinity Painting by Lorie Ofir,United States,Lorie Ofir,1.40849E+12,9,5,Canvas Wood,18,Landscape,1590,7.371489295
166,Oil,464.92,Oil, Ben Painting by Michał Slezkin,Poland,Michał Slezkin,1.44642E+12,26,7,Canvas,6,Cinema,3250,8.086410275
217,Acrylic,1486.8,Acrylic, untitled Painting by Anna Stankiewicz,Portugal,Anna Stankiewicz,1.39968E+12,30,6,Canvas,8,Home,2190,7.691656823
645,Oil,864,Oil, Citys still life Painting by Ilia Guenkin,United States,Ilia Guenkin,1.42007E+12,3,1,Canvas,34,Still Life,2950,7.989560449
577,Acrylic and Oil,3272.94,Acrylic Oil, Isolated Painting by Kwon sun-yong,South Korea,Kwon sun-yong,1.44832E+12,73,30,Canvas,22,Men,4610,8.435983136
648,Oil,63,Oil, Gaeane Painting by Kevin Scott Miller,United States,Kevin Scott Miller,1.38853E+12,21,131,Canvas,31,Animal,390,5.966146739
423,Oil,404.01,Oil, Tom Painting by Lucie Harris,United Kingdom,Lucie Harris,9.33034E+11,8,18,Canvas Wood,7,Portrait,635,6.453624999
762,Oil,320,Oil, Bearberry Painting by Valdemar Alekson,United States,Valdemar Alekson,1.45066E+12,18,12,Canvas,16,Animal,1290,7.162397497
1038,Oil,1256.86,Oil, model with flowers Painting by Olga Novokhatska,France,Olga Novokhatska,1.45169E+12,86,314,Canvas,42,Nude,1590,7.371489295
96,Acrylic,1200,Acrylic Chalk Charcoal Pastel, Impromptu Performance 4 Painting by Ester Pugliese,Canada,Ester Pugliese,1.357E+12,6,1,Wood,3,Abstract,1310,7.177782416
545,Acrylic,4288,Acrylic, Abstract Painting by bruce klein,United States,bruce klein,1.36866E+12,16,7,Canvas,24,Abstract,7050,8.860782896
425,Oil,388.09,Oil, Rose and Lilly Painting by Fiona Scheibl,United Kingdom,Fiona Scheibl,1.42007E+12,19,61,Canvas,21,Floral,1120,7.021083964
451,Oil,185.26,Oil Acrylic sand, False Prophet Painting by paul edmondson,United Kingdom,paul edmondson,1.43381E+12,43,15,Canvas,18,Mortality,445,6.098074282
983,Ink,54.75,Ink, Land Painting by Minna Komi,Finland,Minna Komi,1.42007E+12,31,44,Other,37,Landscape,495,6.204557763
607,Acrylic,1152,Acrylic, West Coast Painting by Emily Peterson,Canada,Emily Peterson,1.42085E+12,21,6,Canvas,11,Landscape,2650,7.882314919
1529,Oil,555.52,Oil, Portrait of Maria Painting by Vadim Suvorov,Ukraine,Vadim Suvorov,1.44055E+12,4,16,Canvas,41,Portrait,2750,7.919356191
2740,Oil,188.02,Oil, Nude girl #3 Painting by Georgios Malisianos,Austria,Georgios Malisianos,1.38853E+12,14,31,Paper,51,Nude,410,6.01615716
512,Oil,1728,Oil, The Tempest Painting by Clive Kirk,South Africa,Clive Kirk,1.45161E+12,12,8,Canvas,18,Landscape,1840,7.517520851
381,Oil,556.96,Oil, Sol Painting by Chris Hankey,United Kingdom,Chris Hankey,1.48323E+12,147,138,Canvas,48,Seascape,1240,7.122866659
309,Oil,1296,Oil, April is the Cruelest Month Painting by Sandra Speidel,United States,Sandra Speidel,1.45549E+12,8,10,Canvas,9,Abstract,2450,7.803843304
406,Gesso,1080,Gesso Acrylic Enamel, En Pointe Piroutte Painting by DARIO PUCCINI,United States,DARIO PUCCINI,1.42007E+12,52,26,Canvas,10,Performing Arts,650,6.476972363
147,Oil and Charcoal,7056,Oil Charcoal, 1H and Sustaining Painting by Renée Rey,United States,Renée Rey,1.45161E+12,18,44,Canvas,5,Landscape,6300,8.748304912
1286,Acrylic,1296,Acrylic, Veiled in White and Blue Painting by Simon M Smith,United Kingdom,Simon M Smith,1.38853E+12,15,51,Canvas,51,Floral,2410,7.787382026
1439,Oil,1115.1,Oil, Song Of The Blackbird Painting by Chris Wake,Australia,Chris Wake,1.3786E+12,42,145,Canvas,26,People,3750,8.229511119
201,Oil and Gesso,595.36,Oil Gesso, After the rain Painting by Shilpa Majumdar,India,Shilpa Majumdar,1.45161E+12,7,4,Canvas,16,Abstract,1480,7.299797367
424,Acrylic,576,Acrylic, Two Gondolas Painting by Nick Hais,United Kingdom,Nick Hais,1.2814E+12,15,23,Canvas,10,Boat,3550,8.174702882
180,Acrylic,900,Acrylic, AND ITS UP SHE GOES Painting by Julia DiSano,Canada,Julia DiSano,1.41445E+12,14,5,Canvas,1,Abstract,1055,6.961296046
1279,Oil,5760,Oil Acrylic Wax, Its alive Painting by mher khachatryan,United States,mher khachatryan,1.41247E+12,23,9,Canvas,43,Light,34000,10.4341158
519,Oil,575,Oil, The colors of art Painting by Sergio Micali,Italy,Sergio Micali,1.42007E+12,7,7,Canvas,23,Still Life,990,6.897704943
913,Gesso and Oil,1038.94,Gesso Oil, Urban jungle Painting by Chehade Chehade,France,Chehade Chehade,1.40236E+12,18,25,Canvas,23,Graffiti,1990,7.595889918
2009,Acrylic,576,Acrylic, Lilacs from the Garden Abstract painting floral painting Painting by Kathy Symonds,United States,Kathy Symonds,1.38853E+12,110,53,Canvas,22,Floral,580,6.363028104
325,Oil,951.75,Oil, LIGHT CURTAIN Painting by Edi Franc,United States,Edi Franc,1.45161E+12,4,0,Canvas,9,Nude,3250,8.086410275
227,Watercolor,196.42,Watercolor, Farmers at work Painting by Sudhi S Pooniyil,United Kingdom,Sudhi S Pooniyil,1.46569E+12,6,0,Paper,5,Rural life,240,5.480638923
13,Acrylic,431.75,Acrylic Oil Ink Pencil, Yachts Painting by Anatoly Baratynsky,Israel,Anatoly Baratynsky,1.42007E+12,14,0,Canvas,1,Yacht,1740,7.461640392
337,Oil,1200,Oil, Pink Haze Painting by Sarah L Goy,United Kingdom,Sarah L Goy,1.444E+12,11,4,Canvas,15,Abstract,1450,7.279318835
327,Wax and Paper,660,Wax Paper, Dancing Triangles Painting by ellen koment,United States,ellen koment,1.4332E+12,15,19,Paper,6,Abstract,2850,7.955074273
905,Oil,4336.37,Oil, Beth I Painting by Hannah Greasley,United Kingdom,Hannah Greasley,1.36598E+12,2,19,Canvas,23,Nude,2450,7.803843304
1173,Oil,1552.36,Oil, Danoiss chimera Painting by Marie-Suz Charmont,France,Marie-Suz Charmont,1.38853E+12,32,42,Canvas,34,Portrait,2190,7.691656823
181,Ink,520,Ink, Shapeshifter #32 Nature Science Abstract Painting Painting by Laura Stack,United States,Laura Stack,1.42007E+12,20,5,Paper,13,Abstract,1140,7.038783541
6784,Oil,2193,Oil, LIBERTY  VIII Painting by Peter Goodhall,United Kingdom,Peter Goodhall,1.45161E+12,14,106,Canvas,273,Nude,5560,8.623353387
96,Oil and Acrylic,400,Oil Acrylic, Sense of Humor Painting by Ben Dunn,United States,Ben Dunn,1.42007E+12,14,32,Wood,6,Abstract,1040,6.946975992
87,Oil,1764,Oil, Sweet Tomatoes Painting by Carmelo Sortino,Canada,Carmelo Sortino,1.38853E+12,12,4,Canvas,6,Still Life,4710,8.457443187
256,Oil,9294.47,Oil, Bang! Boom! Bam! Painting by Janusz Orzechowski,Poland,Janusz Orzechowski,1.45161E+12,110,85,Canvas,13,Comics,5200,8.556413905
594,Oil,556.96,Oil, British garden. Watching sunset Painting by Daria Yablon-Soloviova,Russia,Daria Yablon-Soloviova,1.32538E+12,51,44,Cardboard,15,Nature,3250,8.086410275
302,Acrylic,864,Acrylic, Albedo Effect Painting by Shelly Leitheiser,United States,Shelly Leitheiser,1.43191E+12,14,4,Canvas,16,Abstract,1440,7.272398393
161,Oil,154,Oil, A little house Painting by Linda Lin,United States,Linda Lin,1.45161E+12,143,14,Canvas,6,Landscape,190,5.247024072
382,Oil,1552.36,Oil, From the Red Series II Painting by Maria Safronova,Sweden,Maria Safronova,1.40659E+12,3,5,Canvas,9,People,3250,8.086410275
990,Oil,2328.54,Oil, The Fear Remains Painting by Mirna Petrovic,Croatia,Mirna Petrovic,1.357E+12,9,10,Soft (Yarn Cotton Fabric) Other,26,People,4910,8.499029221
1767,Oil,464.92,Oil, waterfall Painting by Zacharias Papantoniou,Greece,Zacharias Papantoniou,1.38853E+12,16,11,Canvas,49,Fantasy,2750,7.919356191
